,question,correct_answer,image_file,image_link,task_category,chart_type,mc1,mc2,mc3,mc4,text_input_type
0,What was the price of a barrel of oil in February 2015?,$50.24,item1.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item1.png,retrieve_value,Line Chart,$57.36,$47.82,$50.24,$39.72,multiple_choice_question
1,In which month was the price of a barrel of oil the lowest in 2015?,December,item2.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item2.png,find_extremum,Line Chart,March,May,July,December,multiple_choice_question
2,What was the price range of a barrel of oil in 2015?,$37.04 - $60.95,item3.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item3.png,determine_Range,Line Chart,$35 - $65,$48.36 - $60.95,$37.04 - $48.36,$37.04 - $60.95,multiple_choice_question
3,"Over the course of the second half of 2015, the price of a barrel of oil was ____________.",falling,item4.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item4.png,find_correlations_trends,Line Chart,rising,falling,staying,Skip,multiple_choice_question
4,About how much did the price of a barrel of oil fall from April to September in 2015?,$15.00,item5.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item5.png,make_comparisons,Line Chart,$5.00,$15.00,$17.00,$45.00,multiple_choice_question
5,What is the average internet speed in Japan?,15 Mbps,item6.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item6.png,retrieve_value,Bar Chart,10 Mbps,14 Mbps,15 Mbps,16 Mbps,multiple_choice_question
6,In which country is the average internet speed the fastest in Asia?,South Korea,item7.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item7.png,find_extremum,Bar Chart,China,Hong Kong,South Korea,Vietnam,multiple_choice_question
7,What is the range of the average internet speed in Asia?,2 - 20.5 Mbps,item8.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item8.png,determine_Range,Bar Chart,0 - 22 Mbps,2 - 20.5 Mbps,3 - 20 Mbps,3.4 - 7.8 Mbps,multiple_choice_question
8,How many countries in Asia is the average internet speed slower than Thailand?,7 countries,item9.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item9.png,make_comparisons,Bar Chart,5 countries,6 countries,7 countries,8 countries,multiple_choice_question
9,What is the cost of peanuts in Las Vegas?,$12.00,item10.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item10.png,retrieve_value,Stacked Bar Chart,$12.00,$16.70,$23.40,$35.40,multiple_choice_question
10,About what is the ratio of the cost of a sandwich to the total cost of room service in Seattle?,4 to 10,item11.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item11.png,retrieve_value,Stacked Bar Chart,1 to 10,2 to 10,4 to 10,6 to 10,multiple_choice_question
