,question,image_file,agentType,a_in_b
0,A group of males are gathered around the height of 176 cm and the weight of 70 kg.,item30.png,GPT-4V,1.0
1,A group of males are gathered around the height of 176 cm and the weight of 70 kg.,item30.png,Human/Math-2-1,0.8590308370044053
2,A group of males are gathered around the height of 176 cm and the weight of 70 kg.,item30.png,Human/Math-3,0.8465189873417721
3,A group of males are gathered around the height of 176 cm and the weight of 70 kg.,item30.png,Salesforce/blip2-flan-t5-xl,1.0
4,A group of males are gathered around the height of 176 cm and the weight of 70 kg.,item30.png,Salesforce/blip2-flan-t5-xxl,1.0
5,A group of males are gathered around the height of 176 cm and the weight of 70 kg.,item30.png,Salesforce/blip2-opt-2.7b,1.0
6,A group of males are gathered around the height of 176 cm and the weight of 70 kg.,item30.png,llava-hf/llava-1.5-7b-hf,1.0
7,A group of the metro systems of the world has approximately 300 stations and around a 200km system length.,item51.png,GPT-4V,0.0
8,A group of the metro systems of the world has approximately 300 stations and around a 200km system length.,item51.png,Human/Math-2-1,0.7665198237885462
9,A group of the metro systems of the world has approximately 300 stations and around a 200km system length.,item51.png,Human/Math-3,0.7705696202531646
10,A group of the metro systems of the world has approximately 300 stations and around a 200km system length.,item51.png,Salesforce/blip2-flan-t5-xl,0.0
11,A group of the metro systems of the world has approximately 300 stations and around a 200km system length.,item51.png,Salesforce/blip2-flan-t5-xxl,1.0
12,A group of the metro systems of the world has approximately 300 stations and around a 200km system length.,item51.png,Salesforce/blip2-opt-2.7b,0.0
13,A group of the metro systems of the world has approximately 300 stations and around a 200km system length.,item51.png,llava-hf/llava-1.5-7b-hf,0.0
14,About how much did the price of a barrel of oil fall from April to September in 2015?,item5.png,GPT-4V,1.0
15,About how much did the price of a barrel of oil fall from April to September in 2015?,item5.png,Human/Math-2-1,0.6828193832599119
16,About how much did the price of a barrel of oil fall from April to September in 2015?,item5.png,Human/Math-3,0.7515822784810127
17,About how much did the price of a barrel of oil fall from April to September in 2015?,item5.png,Salesforce/blip2-flan-t5-xl,0.0
18,About how much did the price of a barrel of oil fall from April to September in 2015?,item5.png,Salesforce/blip2-flan-t5-xxl,0.0
19,About how much did the price of a barrel of oil fall from April to September in 2015?,item5.png,Salesforce/blip2-opt-2.7b,0.4
20,About how much did the price of a barrel of oil fall from April to September in 2015?,item5.png,llava-hf/llava-1.5-7b-hf,1.0
21,About what is the global smartphone market share of Samsung?,item19.png,GPT-4V,1.0
22,About what is the global smartphone market share of Samsung?,item19.png,Human/Math-2-1,0.6828193832599119
23,About what is the global smartphone market share of Samsung?,item19.png,Human/Math-3,0.754746835443038
24,About what is the global smartphone market share of Samsung?,item19.png,Salesforce/blip2-flan-t5-xl,1.0
25,About what is the global smartphone market share of Samsung?,item19.png,Salesforce/blip2-flan-t5-xxl,0.0
26,About what is the global smartphone market share of Samsung?,item19.png,Salesforce/blip2-opt-2.7b,0.4444444444444444
27,About what is the global smartphone market share of Samsung?,item19.png,llava-hf/llava-1.5-7b-hf,0.0
28,About what is the ratio of the cost of a sandwich to the total cost of room service in Seattle?,item11.png,GPT-4V,0.0
29,About what is the ratio of the cost of a sandwich to the total cost of room service in Seattle?,item11.png,Human/Math-2-1,0.46255506607929514
30,About what is the ratio of the cost of a sandwich to the total cost of room service in Seattle?,item11.png,Human/Math-3,0.5617088607594937
31,About what is the ratio of the cost of a sandwich to the total cost of room service in Seattle?,item11.png,Salesforce/blip2-flan-t5-xl,0.0
32,About what is the ratio of the cost of a sandwich to the total cost of room service in Seattle?,item11.png,Salesforce/blip2-flan-t5-xxl,0.0
